bottle,exp,treat,date,time,tare,total1,total2,total,buff,water,cellu,sss,dig,inoc,brw,jbo,slg,man,feed,fss
1,bmp,dig,05/06/2014,13:30,542.82,1201.1,1200.6,0,150.48,0,0,0,178.96,328.82,0,0,0,0,0,0
2,bmp,dig,05/06/2014,13:30,537.91,1217.7,1217.7,0,150.56,0,0,0,178.58,350.9,0,0,0,0,0,0
3,bmp,dig,05/06/2014,13:30,540.22,1194.9,1194.9,0,149.66,0,0,0,178.58,326.61,0,0,0,0,0,0
4,bmp,sss,05/06/2014,13:30,539.28,1194.5,1194.5,0,150.35,0,0,40.21,0,465.32,0,0,0,0,0,0
5,bmp,sss,05/06/2014,13:30,543.74,1196.3,1196.3,0,150.01,0,0,40.04,0,461.9,0,0,0,0,0,0
6,bmp,sss,05/06/2014,13:30,541.94,1207.7,1207.7,0,150.3,0,0,40.13,0,475.61,0,0,0,0,0,0
7,bmp,cellu,05/06/2014,13:30,538.02,1194.7,1194.7,0,150.07,0,5.75,0,0,500.94,0,0,0,0,0,0
8,bmp,cellu,05/06/2014,13:30,542.38,1195.4,1195.4,0,149.36,0,5.76,0,0,498.1,0,0,0,0,0,0
9,bmp,cellu,05/06/2014,13:30,535.42,1194.7,1194.7,0,150.02,0,5.71,0,0,504.65,0,0,0,0,0,0
10,bmp,inoc,05/06/2014,13:30,540.63,1192.7,1192.7,0,150.76,0,0,0,0,501.5,0,0,0,0,0,0
11,bmp,inoc,05/06/2014,13:30,442.03,1194.4,1194.4,0,150.32,0,0,0,0,502.27,0,0,0,0,0,0
12,bmp,inoc,05/06/2014,13:30,541.54,1192.2,1192.2,0,148.76,0,0,0,0,502.12,0,0,0,0,0,0
13,batch,D+F,05/06/2014,16:00,321.1,571.34,571.3,571.27,0,0,0,0,178.8,0,8,8.07,1.78,53.7,71.55,0
14,batch,D+F,05/06/2014,16:00,321.2,571.94,571.86,572.85,0,0,0,0,178.08,0,8.2,8,1.86,53.7,71.76,0
15,batch,D+F,05/06/2014,16:00,321.83,576.65,576.61,576.56,0,0,0,0,182.78,0,8.61,8,1.89,53.6,72.1,0
16,batch,S+F,05/06/2014,16:00,322.05,572.18,572.2,572.14,0,137.99,0,0,0,0,9.23,9,2.09,59.9,80.22,31.93
17,batch,S+F,05/06/2014,16:00,320.63,570.66,570.64,570.6,0,137.67,0,0,0,0,9,9.07,2.1,60.3,80.47,31.99
18,batch,S+F,05/06/2014,16:00,321.3,575.75,575.68,575.63,0,139.62,0,0,0,0,9,9,2.03,62.86,82.89,32.01
19,batch,Ss+F,05/06/2014,16:00,320.78,572.46,572.45,572.4,0,139,0,32.27,0,0,9.07,9.03,2.01,60.3,80.41,0
20,batch,Ss+F,05/06/2014,16:00,321.87,572.58,572.57,572.53,0,138.44,0,31.88,0,0,9,9,2.06,60.4,80.46,0
21,batch,Ss+F,05/06/2014,16:00,321.57,571.55,571.56,571.52,0,137.91,0,32.03,0,0,9,9.05,2.1,60,80.15,0
22,batch,D+F+Ss,05/06/2014,16:00,320.75,569.95,569.92,569.88,0,59.48,0,19.55,121.29,0,5.5,5.6,1.2,37.5,49.8,0
23,batch,D+F+Ss,05/06/2014,16:00,320.88,572.57,572.58,572.53,0,60.13,0,19.55,121.36,0,5.5,5.5,1.21,37.2,49.41,0
24,batch,D+F+Ss,05/06/2014,16:00,321.27,572.02,572.03,571.94,0,60.96,0,19.53,122.05,0,5.5,5.56,1.3,37.1,49.46,0
