bottle,days,meas.vol
3_1,2,625
3_1,3,395
3_1,4,348
3_1,5,335
3_1,6,310
3_1,7,232
3_1,8,195
3_1,9,133
3_1,11,205
3_1,13,210
3_1,14,120
3_1,16,180
3_1,18,150
3_1,20,150
3_1,22,132
3_1,25,172
3_1,27,132
3_1,29,115
3_1,35,270
3_1,42,360
3_1,49,325
3_1,56,210
3_1,62,140
3_2,0,0
3_2,2,605
3_2,3,370
3_2,4,330
3_2,5,320
3_2,6,320
3_2,7,245
3_2,8,260
3_2,9,150
3_2,11,210
3_2,13,210
3_2,14,135
3_2,16,185
3_2,18,165
3_2,20,150
3_2,22,138
3_2,25,170
3_2,27,135
3_2,29,110
3_2,35,280
3_2,42,350
3_2,49,320
3_2,56,240
3_2,62,160
3_3,0,0
3_3,2,605
3_3,3,385
3_3,4,340
3_3,5,330
3_3,6,326
3_3,7,250
3_3,8,242
3_3,9,150
3_3,11,218
3_3,13,220
3_3,14,130
3_3,16,190
3_3,18,165
3_3,20,155
3_3,22,140
3_3,25,180
3_3,27,140
3_3,29,118
3_3,35,280
3_3,42,360
3_3,49,355
3_3,56,233
3_3,62,155
4_1,0,0
4_1,2,470
4_1,3,1110
4_1,4,990
4_1,5,740
4_1,6,565
4_1,7,420
4_1,8,640
4_1,9,530
4_1,11,930
4_1,13,860
4_1,14,322
4_1,16,195
4_1,18,165
4_1,20,200
4_1,22,295
4_1,25,210
4_1,27,140
4_1,29,115
4_1,35,280
4_1,42,410
4_1,49,350
4_1,56,390
4_1,62,260
4_2,0,0
4_2,2,490
4_2,3,1145
4_2,4,1005
4_2,5,820
4_2,6,650
4_2,7,500
4_2,8,637
4_2,9,600
4_2,11,880
4_2,13,580
4_2,14,180
4_2,16,180
4_2,18,180
4_2,20,250
4_2,22,160
4_2,25,192
4_2,27,138
4_2,29,122
4_2,35,300
4_2,42,455
4_2,49,400
4_2,56,377
4_2,62,230
4_3,0,0
4_3,2,520
4_3,3,1070
4_3,4,1025
4_3,5,820
4_3,6,650
4_3,7,520
4_3,8,695
4_3,9,600
4_3,11,900
4_3,13,520
4_3,14,160
4_3,16,205
4_3,18,247
4_3,20,186
4_3,22,171
4_3,25,200
4_3,27,140
4_3,29,125
4_3,35,320
4_3,42,490
4_3,49,430
4_3,56,375
4_3,62,250
5_1,0,0
5_1,2,340
5_1,3,205
5_1,4,160
5_1,5,130
5_1,6,122
5_1,7,110
5_1,8,138
5_1,9,105
5_1,11,192
5_1,13,165
5_1,14,120
5_1,16,160
5_1,18,155
5_1,20,160
5_1,22,158
5_1,25,200
5_1,27,170
5_1,29,165
5_1,35,390
5_1,42,413
5_1,49,190
5_1,56,205
5_1,62,160
5_2,0,0
5_2,2,343
5_2,3,200
5_2,4,160
5_2,5,135
5_2,6,125
5_2,7,110
5_2,8,141
5_2,9,115
5_2,11,190
5_2,13,190
5_2,14,122
5_2,16,180
5_2,18,160
5_2,20,166
5_2,22,165
5_2,25,220
5_2,27,175
5_2,29,165
5_2,35,415
5_2,42,390
5_2,49,225
5_2,56,210
5_2,62,160
5_3,0,0
5_3,2,345
5_3,3,205
5_3,4,160
5_3,5,138
5_3,6,125
5_3,7,115
5_3,8,140
5_3,9,110
5_3,11,192
5_3,13,190
5_3,14,113
5_3,16,175
5_3,18,160
5_3,20,161
5_3,22,165
5_3,25,212
5_3,27,180
5_3,29,150
5_3,35,405
5_3,42,385
5_3,49,220
5_3,56,205
5_3,62,160
