"id","date.time","days","xCH4","cumvol","vol","norm.vol"
"3_19","2014-09-10 14:10:00",71.9027777777778,0.681051372509164,4710.3540744027,75,67.5998001492924
"3_19","2014-09-30 15:00:00",91.9375,0.658689322470413,5111.44622195516,445,401.092147552468
"3_19","2014-10-13 13:00:00",104.854166666667,0.586877843245324,5240.33650757315,143,128.890285617984
"3_19","2014-11-07 14:30:00",129.958333333333,0.59509251099055,5353.90417182396,126,113.567664250811
"3_19","2014-12-15 10:30:00",167.791666666667,0.59509251099055,5480.99179610463,141,127.08762428067
"3_20","2014-07-01 13:00:00",0.854166666666667,0.470049806064843,117.17298692544,130,117.17298692544
"3_20","2014-07-02 13:00:00",1.85416666666667,0.434502637949448,229.839320507594,125,112.666333582154
"3_20","2014-07-03 11:15:00",2.78125,0.401547450842467,289.327144638972,66,59.4878241313773
"3_20","2014-07-04 14:45:00",3.92708333333333,0.399207938246791,343.406984758405,60,54.0798401194339
"3_20","2014-07-05 11:00:00",4.77083333333333,0.398218027318367,365.940251474836,25,22.5332667164308
"3_20","2014-07-06 13:00:00",5.85416666666667,0.401450915592289,388.473518191267,25,22.5332667164308
"3_20","2014-07-07 13:00:00",6.85416666666667,0.41176342916223,411.006784907698,25,22.5332667164308
"3_20","2014-07-10 14:00:00",9.89583333333333,0.437634026955127,451.566664997273,45,40.5598800895755
"3_20","2014-07-14 14:00:00",13.8958333333333,0.438148739533794,496.633198430135,50,45.0665334328616
"3_20","2014-07-17 10:00:00",16.7291666666667,0.460289071473139,525.475779827166,32,28.8425813970314
"3_20","2014-07-21 09:00:00",20.6875,0.51690639653646,597.582233319745,80,72.1064534925786
"3_20","2014-07-24 09:30:00",23.7083333333333,0.490427690805762,678.701993498896,90,81.1197601791509
"3_20","2014-07-31 13:00:00",30.8541666666667,0.602906023631245,913.047967349776,260,234.34597385088
"3_20","2014-08-07 11:00:00",37.7708333333333,0.679541054501064,1219.50039469324,340,306.452427343459
"3_20","2014-08-12 13:00:00",42.8541666666667,0.699160501642474,1489.8995952904,300,270.39920059717
"3_20","2014-08-14 13:00:00",44.8541666666667,0.706879628386636,1591.74996084867,113,101.850365558267
"3_20","2014-08-21 11:00:00",51.7708333333333,0.76609509718284,1970.30884168471,420,378.558880836038
"3_20","2014-08-26 13:00:00",56.8541666666667,0.733676380611622,2542.65381628205,635,572.344974597342
"3_20","2014-08-28 09:30:00",58.7083333333333,0.721851520878678,2842.79692894491,333,300.143112662858
"3_20","2014-09-04 10:20:00",65.7430555555556,0.78732988629491,3351.14742606759,564,508.350497122679
"3_20","2014-09-10 14:10:00",71.9027777777778,0.784323743189848,4051.48135561426,777,700.333929546669
"3_20","2014-09-30 15:00:00",91.9375,0.748351634758598,4736.49266379376,760,685.011308179497
"3_20","2014-10-13 13:00:00",104.854166666667,0.631110051514927,4975.34529098792,265,238.852627194167
"3_20","2014-11-07 14:30:00",129.958333333333,0.629518329684543,5236.73118489852,290,261.385893910597
"3_20","2014-12-15 10:30:00",167.791666666667,0.629518329684543,5412.49066528668,195,175.75948038816
"3_21","2014-07-01 13:00:00",0.854166666666667,0.433992159073895,108.159680238868,120,108.159680238868
"3_21","2014-07-02 13:00:00",1.85416666666667,0.416730208063985,211.81270713445,115,103.653026895582
"3_21","2014-07-03 11:15:00",2.78125,0.400726940981881,274.905853940456,70,63.0931468060063
"3_21","2014-07-04 14:45:00",3.92708333333333,0.414032902480698,333.492347403176,65,58.5864934627201
"3_21","2014-07-05 11:00:00",4.77083333333333,0.333077980607633,356.025614119607,25,22.5332667164308
"3_21","2014-07-06 13:00:00",5.85416666666667,0.420549192674484,410.105454239041,60,54.0798401194339
"3_21","2014-07-07 13:00:00",6.85416666666667,0.428606537020841,428.132067612185,20,18.0266133731446
"3_21","2014-07-10 14:00:00",9.89583333333333,0.447798727749639,481.310577062962,59,53.1785094507767
"3_21","2014-07-14 14:00:00",13.8958333333333,0.48353261077727,544.403723868968,70,63.0931468060063
"3_21","2014-07-17 10:00:00",16.7291666666667,0.499254101513255,605.69420933766,68,61.2904854686918
"3_21","2014-07-21 09:00:00",20.6875,0.569334792817652,749.907116322817,160,144.212906985157
"3_21","2014-07-24 09:30:00",23.7083333333333,0.640695648804399,921.159943367691,190,171.252827044874
"3_21","2014-07-31 13:00:00",30.8541666666667,0.748472452622354,1349.29201097988,475,428.132067612185
"3_21","2014-08-07 11:00:00",37.7708333333333,0.757299419548745,1763.9041185622,460,414.612107582327
"3_21","2014-08-12 13:00:00",42.8541666666667,0.734665905474895,2367.79566656255,670,603.891548000346
"3_21","2014-08-14 13:00:00",44.8541666666667,0.725760916331086,2692.27470727915,360,324.479040716604
"3_21","2014-08-21 11:00:00",51.7708333333333,0.776168672272042,3395.31262883179,780,703.037921552641
"3_21","2014-08-26 13:00:00",56.8541666666667,0.713523598910745,4053.28401695157,730,657.97138811978
"3_21","2014-08-28 09:30:00",58.7083333333333,0.690673551660108,4233.55015068302,200,180.266133731446
"3_21","2014-09-04 10:20:00",65.7430555555556,0.696083746325666,4403.00031639058,188,169.45016570756
"3_21","2014-09-10 14:10:00",71.9027777777778,0.677513445336389,4509.35733529213,118,106.357018901553
"3_21","2014-09-30 15:00:00",91.9375,0.683146262283252,4777.95387455199,298,268.596539259855
"3_21","2014-10-13 13:00:00",104.854166666667,0.627609289214759,4886.11355479086,120,108.159680238868
"3_21","2014-11-07 14:30:00",129.958333333333,0.617484257796427,5093.41960858202,230,207.306053791163
"3_21","2014-12-15 10:30:00",167.791666666667,0.617484257796427,5270.08041963884,196,176.660811056818
"3_22","2014-07-01 13:00:00",0.854166666666667,0.298755551969302,77.514437504522,86,77.514437504522
"3_22","2014-07-02 13:00:00",1.85416666666667,0.307939928643781,151.423552334415,82,73.909114829893
"3_22","2014-07-03 11:15:00",2.78125,0.316454611185746,199.194077773248,53,47.7705254388333
"3_22","2014-07-04 14:45:00",3.92708333333333,0.330711076975155,248.767264549396,55,49.5731867761478
"3_22","2014-07-05 11:00:00",4.77083333333333,0.390293658023928,271.300531265827,25,22.5332667164308
"3_22","2014-07-06 13:00:00",5.85416666666667,0.338988623847521,290.228475307629,21,18.9279440418019
"3_22","2014-07-07 13:00:00",6.85416666666667,0.354295690593042,308.255088680773,20,18.0266133731446
"3_22","2014-07-10 14:00:00",9.89583333333333,0.380458861499962,349.716299439006,46,41.4612107582327
"3_22","2014-07-14 14:00:00",13.8958333333333,0.426617972855473,387.57218752261,42,37.8558880836038
"3_22","2014-07-17 10:00:00",16.7291666666667,0.446852970641987,401.092147552468,15,13.5199600298585
"3_22","2014-07-21 09:00:00",20.6875,0.427186899264487,437.145374298758,40,36.0532267462893
"3_22","2014-07-24 09:30:00",23.7083333333333,0.453392315266038,471.395939707732,38,34.2505654089748
"3_22","2014-07-31 13:00:00",30.8541666666667,0.558131319712466,593.075579976459,135,121.679640268726
"3_22","2014-08-07 11:00:00",37.7708333333333,0.687238215033679,926.567927379635,370,333.492347403176
"3_22","2014-08-14 13:00:00",44.8541666666667,0.780408912912103,1534.96612872327,675,608.398201343632
"3_22","2014-08-21 11:00:00",51.7708333333333,0.765585058438332,2165.89759678333,700,630.931468060063
"3_22","2014-08-26 13:00:00",56.8541666666667,0.714267328735065,2814.85567821654,720,648.958081433207
"3_22","2014-08-28 09:30:00",58.7083333333333,0.695548976507234,3050.10298273607,261,235.247304519538
"3_22","2014-09-04 10:20:00",65.7430555555556,0.771315131596752,3744.12759760214,770,694.024614866069
"3_22","2014-09-10 14:10:00",71.9027777777778,0.75585616669879,4284.92599879648,600,540.798401194339
"3_22","2014-09-30 15:00:00",91.9375,0.735219974591426,4780.65786655796,550,495.731867761478
"3_22","2014-10-13 13:00:00",104.854166666667,0.651329489430887,5042.04376046856,290,261.385893910597
"3_22","2014-11-07 14:30:00",129.958333333333,0.635378239055767,5214.19791818209,191,172.154157713531
