"date","time","days","bottle","vol"
"28-03-2015","15:15",1.924,1,43
"28-03-2015","15:15",1.924,2,41
"28-03-2015","15:15",1.924,3,42
"28-03-2015","15:15",1.924,4,74
"28-03-2015","15:15",1.924,5,80
"28-03-2015","15:15",1.924,6,55
"28-03-2015","15:15",1.924,7,40
"28-03-2015","15:15",1.924,8,40
"28-03-2015","15:15",1.924,9,41
"28-03-2015","15:15",1.924,10,41
"28-03-2015","15:15",1.924,11,40
"28-03-2015","15:15",1.924,12,39
"28-03-2015","15:15",1.924,13,40
"28-03-2015","15:15",1.924,14,37
"28-03-2015","15:15",1.924,15,36
"28-03-2015","15:15",1.924,16,36
"28-03-2015","15:15",1.924,17,44
"28-03-2015","15:15",1.924,18,44
"28-03-2015","15:15",1.924,19,42
"28-03-2015","15:15",1.924,20,35
"28-03-2015","15:15",1.924,21,35
"28-03-2015","15:15",1.924,22,25
"28-03-2015","15:15",1.924,23,26
"28-03-2015","15:15",1.924,24,28
"28-03-2015","15:15",1.924,25,29
"28-03-2015","15:15",1.924,26,28
"28-03-2015","15:15",1.924,27,27
"30-03-2015","16:45",3.987,4,142
"30-03-2015","16:45",3.987,5,198
"30-03-2015","16:45",3.987,6,198
"31-03-2015","14:00",4.872,1,38
"31-03-2015","14:00",4.872,2,36
"31-03-2015","14:00",4.872,3,38
"31-03-2015","14:00",4.872,4,48
"31-03-2015","14:00",4.872,5,48
"31-03-2015","14:00",4.872,6,58
"31-03-2015","14:00",4.872,7,35
"31-03-2015","14:00",4.872,8,31
"31-03-2015","14:00",4.872,9,32
"31-03-2015","14:00",4.872,10,35
"31-03-2015","14:00",4.872,11,31
"04-04-2015","15:20",8.928,1,22
"04-04-2015","15:20",8.928,2,20
"04-04-2015","15:20",8.928,3,22
"04-04-2015","15:20",8.928,4,59
"04-04-2015","15:20",8.928,5,59
"04-04-2015","15:20",8.928,6,62
"04-04-2015","15:20",8.928,7,19
"04-04-2015","15:20",8.928,8,20
"04-04-2015","15:20",8.928,9,20
"04-04-2015","15:20",8.928,10,23
"04-04-2015","15:20",8.928,11,18
"04-04-2015","15:20",8.928,12,48
"04-04-2015","15:20",8.928,13,52
"04-04-2015","15:20",8.928,14,47
"04-04-2015","15:20",8.928,15,50
"04-04-2015","15:20",8.928,16,51
"04-04-2015","15:20",8.928,17,48
"04-04-2015","15:20",8.928,18,49
"04-04-2015","15:20",8.928,19,51
"04-04-2015","15:20",8.928,20,48
"04-04-2015","15:20",8.928,21,50
"04-04-2015","15:20",8.928,22,50
"04-04-2015","15:20",8.928,23,48
"04-04-2015","15:20",8.928,24,48
"04-04-2015","15:20",8.928,25,46
"04-04-2015","15:20",8.928,26,46
"04-04-2015","15:20",8.928,27,50
"10-04-2015","15:00",14.91,1,19.5
"10-04-2015","15:00",14.91,2,19
"10-04-2015","15:00",14.91,3,20
"10-04-2015","15:00",14.91,4,32
"10-04-2015","15:00",14.91,5,31
"10-04-2015","15:00",14.91,6,34
"10-04-2015","15:00",14.91,7,19.5
"10-04-2015","15:00",14.91,8,19
"10-04-2015","15:00",14.91,9,18
"10-04-2015","15:00",14.91,10,22
"10-04-2015","15:00",14.91,11,19
"10-04-2015","15:00",14.91,12,22
"10-04-2015","15:00",14.91,13,22.5
"10-04-2015","15:00",14.91,14,24
"10-04-2015","15:00",14.91,15,21
"10-04-2015","15:00",14.91,16,21.5
"10-04-2015","15:00",14.91,17,22
"10-04-2015","15:00",14.91,18,19.5
"10-04-2015","15:00",14.91,19,21
"10-04-2015","15:00",14.91,20,20
"10-04-2015","15:00",14.91,21,20
"10-04-2015","15:00",14.91,22,20.5
"10-04-2015","15:00",14.91,23,22
"10-04-2015","15:00",14.91,24,19
"10-04-2015","15:00",14.91,25,22.5
"10-04-2015","15:00",14.91,26,18
"10-04-2015","15:00",14.91,27,19.5
"15-04-2015","16:20",19.97,1,13
"15-04-2015","16:20",19.97,2,12
"15-04-2015","16:20",19.97,3,12
"15-04-2015","16:20",19.97,4,16.5
"15-04-2015","16:20",19.97,5,16
"15-04-2015","16:20",19.97,6,18
"15-04-2015","16:20",19.97,7,12
"15-04-2015","16:20",19.97,8,10
"15-04-2015","16:20",19.97,9,11.5
"15-04-2015","16:20",19.97,10,12
"15-04-2015","16:20",19.97,11,10
"15-04-2015","16:20",19.97,12,11
"15-04-2015","16:20",19.97,13,11
"15-04-2015","16:20",19.97,14,11.5
"15-04-2015","16:20",19.97,15,9.5
"15-04-2015","16:20",19.97,16,13
"15-04-2015","16:20",19.97,17,11
"15-04-2015","16:20",19.97,18,13
"15-04-2015","16:20",19.97,19,11.5
"15-04-2015","16:20",19.97,20,12
"15-04-2015","16:20",19.97,21,12
"15-04-2015","16:20",19.97,22,11
"15-04-2015","16:20",19.97,23,12
"15-04-2015","16:20",19.97,24,12
"15-04-2015","16:20",19.97,25,11.5
"15-04-2015","16:20",19.97,26,11.5
"15-04-2015","16:20",19.97,27,11.5
"25-04-2015","18:30",30.06,1,13
"25-04-2015","18:30",30.06,2,12.5
"25-04-2015","18:30",30.06,3,14
"25-04-2015","18:30",30.06,4,15.5
"25-04-2015","18:30",30.06,5,16
"25-04-2015","18:30",30.06,6,17
"25-04-2015","18:30",30.06,7,12
"25-04-2015","18:30",30.06,8,12
"25-04-2015","18:30",30.06,9,12
"25-04-2015","18:30",30.06,10,13
"25-04-2015","18:30",30.06,11,12
"25-04-2015","18:30",30.06,12,12
"25-04-2015","18:30",30.06,13,13
"25-04-2015","18:30",30.06,14,12
"25-04-2015","18:30",30.06,15,12
"25-04-2015","18:30",30.06,16,11.5
"25-04-2015","18:30",30.06,17,11
"25-04-2015","18:30",30.06,18,11
"25-04-2015","18:30",30.06,19,10.5
"25-04-2015","18:30",30.06,20,11.5
"25-04-2015","18:30",30.06,21,10.5
"25-04-2015","18:30",30.06,22,9
"25-04-2015","18:30",30.06,23,10.5
"25-04-2015","18:30",30.06,24,9.5
"25-04-2015","18:30",30.06,25,9.5
"25-04-2015","18:30",30.06,26,9.5
"25-04-2015","18:30",30.06,27,11
