"date","time","days","bottle","mass"
"15-04-2015","16:20",19.97,6,190.4078
"15-04-2015","16:20",19.97,7,185.7844
"15-04-2015","16:20",19.97,8,188.1576
"15-04-2015","16:20",19.97,9,187.6369
"15-04-2015","16:20",19.97,10,188.2824
"15-04-2015","16:20",19.97,11,185.5658
"15-04-2015","16:20",19.97,12,184.8871
"15-04-2015","16:20",19.97,13,188.6412
"15-04-2015","16:20",19.97,14,185.701
"15-04-2015","16:20",19.97,15,184.6518
"15-04-2015","16:20",19.97,16,185.9583
"15-04-2015","16:20",19.97,17,185.292
"15-04-2015","16:20",19.97,18,186.5191
"15-04-2015","16:20",19.97,19,185.4612
"15-04-2015","16:20",19.97,20,184.3667
"15-04-2015","16:20",19.97,21,184.837
"15-04-2015","16:20",19.97,22,182.1551
"15-04-2015","16:20",19.97,23,181.7112
"15-04-2015","16:20",19.97,24,182.3006
"15-04-2015","16:20",19.97,25,182.5259
"15-04-2015","16:20",19.97,26,182.5139
"15-04-2015","16:20",19.97,27,183.5006
"25-04-2015","18:30",30.06,1,197.5219
"25-04-2015","18:30",30.06,2,195.3819
"25-04-2015","18:30",30.06,3,195.6999
"25-04-2015","18:30",30.06,4,189.6081
"25-04-2015","18:30",30.06,5,189.2904
"25-04-2015","18:30",30.06,6,190.386
"25-04-2015","18:30",30.06,7,185.7695
"25-04-2015","18:30",30.06,8,188.1432
"25-04-2015","18:30",30.06,9,187.6222
"25-04-2015","18:30",30.06,10,188.2724
"25-04-2015","18:30",30.06,11,185.5512
"25-04-2015","18:30",30.06,12,184.8715
"25-04-2015","18:30",30.06,13,188.625
"25-04-2015","18:30",30.06,14,185.686
"25-04-2015","18:30",30.06,15,184.6371
"25-04-2015","18:30",30.06,16,185.9445
"25-04-2015","18:30",30.06,17,185.2782
"25-04-2015","18:30",30.06,18,186.5053
"25-04-2015","18:30",30.06,19,185.4475
"25-04-2015","18:30",30.06,20,184.3521
"25-04-2015","18:30",30.06,21,184.8234
"25-04-2015","18:30",30.06,22,182.1432
"25-04-2015","18:30",30.06,23,181.6985
"25-04-2015","18:30",30.06,24,182.2883
"25-04-2015","18:30",30.06,25,182.5114
"25-04-2015","18:30",30.06,26,182.5019
"25-04-2015","18:30",30.06,27,183.4874
