"date","time","days","bottle","xCH4"
"28-03-2015","15:15",1.924,"1",0.78989879
"28-03-2015","15:15",1.924,"10",0.762665849
"28-03-2015","15:15",1.924,"11",0.749314272
"28-03-2015","15:15",1.924,"12",0.789591334
"28-03-2015","15:15",1.924,"13",0.796896353
"28-03-2015","15:15",1.924,"14",0.809687388
"28-03-2015","15:15",1.924,"15",0.810096673
"28-03-2015","15:15",1.924,"16",0.814907158
"28-03-2015","15:15",1.924,"17",0.814199893
"28-03-2015","15:15",1.924,"18",0.801812756
"28-03-2015","15:15",1.924,"19",0.814190707
"28-03-2015","15:15",1.924,"2",0.776492886
"28-03-2015","15:15",1.924,"20",0.80094844
"28-03-2015","15:15",1.924,"21",0.804356598
"28-03-2015","15:15",1.924,"22",0.793318988
"28-03-2015","15:15",1.924,"23",0.796009058
"28-03-2015","15:15",1.924,"24",0.796657197
"28-03-2015","15:15",1.924,"25",0.637581485
"28-03-2015","15:15",1.924,"26",0.790295705
"28-03-2015","15:15",1.924,"27",0.799968015
"28-03-2015","15:15",1.924,"3",0.783195838
"28-03-2015","15:15",1.924,"4",0.672816008
"28-03-2015","15:15",1.924,"5",0.663852132
"28-03-2015","15:15",1.924,"6",0.72463472
"28-03-2015","15:15",1.924,"7",0.733356351
"28-03-2015","15:15",1.924,"8",0.741708813
"28-03-2015","15:15",1.924,"9",0.753277176
"30-03-2015","16:45",3.987,"4",0.600514683
"30-03-2015","16:45",3.987,"5",0.589250151
"30-03-2015","16:45",3.987,"6",0.579470422
"31-03-2015","14:00",4.872,"1",0.709379882
"31-03-2015","14:00",4.872,"10",0.72369002
"31-03-2015","14:00",4.872,"11",0.680025017
"31-03-2015","14:00",4.872,"2",0.70383079
"31-03-2015","14:00",4.872,"3",0.711625897
"31-03-2015","14:00",4.872,"4",0.542986631
"31-03-2015","14:00",4.872,"5",0.527197545
"31-03-2015","14:00",4.872,"6",0.535475589
"31-03-2015","14:00",4.872,"7",0.646090745
"31-03-2015","14:00",4.872,"8",0.707134909
"31-03-2015","14:00",4.872,"9",0.72404599
"15-04-2015","16:20",19.97,"1",0.758392436
"15-04-2015","16:20",19.97,"10",0.722811581
"15-04-2015","16:20",19.97,"11",0.742826678
"15-04-2015","16:20",19.97,"12",0.737787035
"15-04-2015","16:20",19.97,"13",0.738829672
"15-04-2015","16:20",19.97,"14",0.740661332
"15-04-2015","16:20",19.97,"15",0.74013382
"15-04-2015","16:20",19.97,"16",0.754009286
"15-04-2015","16:20",19.97,"17",0.735076949
"15-04-2015","16:20",19.97,"18",0.734154737
"15-04-2015","16:20",19.97,"19",0.736366592
"15-04-2015","16:20",19.97,"2",0.76739252
"15-04-2015","16:20",19.97,"20",0.735248292
"15-04-2015","16:20",19.97,"21",0.732831328
"15-04-2015","16:20",19.97,"22",0.737930168
"15-04-2015","16:20",19.97,"23",0.736201067
"15-04-2015","16:20",19.97,"24",0.733494607
"15-04-2015","16:20",19.97,"25",0.74456164
"15-04-2015","16:20",19.97,"26",0.738683607
"15-04-2015","16:20",19.97,"27",0.737501273
"15-04-2015","16:20",19.97,"3",0.746594813
"15-04-2015","16:20",19.97,"4",0.629408338
"15-04-2015","16:20",19.97,"5",0.602964191
"15-04-2015","16:20",19.97,"6",0.601584097
"15-04-2015","16:20",19.97,"7",0.689025547
"15-04-2015","16:20",19.97,"8",0.699030195
"15-04-2015","16:20",19.97,"9",0.709735861
"25-04-2015","18:30",30.06,"1",0.743161751
"25-04-2015","18:30",30.06,"10",0.735989686
"25-04-2015","18:30",30.06,"11",0.736017205
"25-04-2015","18:30",30.06,"12",0.735288258
"25-04-2015","18:30",30.06,"13",0.743009282
"25-04-2015","18:30",30.06,"14",0.747247738
"25-04-2015","18:30",30.06,"15",0.746066906
"25-04-2015","18:30",30.06,"16",0.744256766
"25-04-2015","18:30",30.06,"17",0.737800951
"25-04-2015","18:30",30.06,"18",0.737548606
"25-04-2015","18:30",30.06,"19",0.736048152
"25-04-2015","18:30",30.06,"2",0.745661522
"25-04-2015","18:30",30.06,"20",0.740453776
"25-04-2015","18:30",30.06,"21",0.743723769
"25-04-2015","18:30",30.06,"22",0.748429665
"25-04-2015","18:30",30.06,"23",0.751030694
"25-04-2015","18:30",30.06,"24",0.741688438
"25-04-2015","18:30",30.06,"25",0.748972061
"25-04-2015","18:30",30.06,"26",0.74073679
"25-04-2015","18:30",30.06,"27",0.739645581
"25-04-2015","18:30",30.06,"3",0.742180494
"25-04-2015","18:30",30.06,"4",0.637148071
"25-04-2015","18:30",30.06,"5",0.623404845
"25-04-2015","18:30",30.06,"6",0.624588444
"25-04-2015","18:30",30.06,"7",0.738055605
"25-04-2015","18:30",30.06,"8",0.730204032
"25-04-2015","18:30",30.06,"9",0.731104398
"2015-04-04","15:20",NA,"1",0.754050931
"2015-10-04","15:00",NA,"1",0.714963151
"2015-04-04","15:20",NA,"10",0.710791846
"2015-10-04","15:00",NA,"10",0.662985368
"2015-10-04","15:00",NA,"11",0.665326656
"2015-04-04","15:20",NA,"11",0.730126623
"2015-10-04","15:00",NA,"12",0.666482928
"2015-04-04","15:20",NA,"12",0.760195304
"2015-10-04","15:00",NA,"13",0.664474838
"2015-04-04","15:20",NA,"13",0.77209355
"2015-04-04","15:20",NA,"14",0.771298303
"2015-10-04","15:00",NA,"14",0.669639897
"2015-10-04","15:00",NA,"15",0.676447413
"2015-04-04","15:20",NA,"15",0.768766284
"2015-10-04","15:00",NA,"16",0.669046406
"2015-04-04","15:20",NA,"16",0.773281828
"2015-10-04","15:00",NA,"17",0.669695122
"2015-04-04","15:20",NA,"17",0.764046414
"2015-10-04","15:00",NA,"18",0.670498441
"2015-04-04","15:20",NA,"18",0.76490952
"2015-10-04","15:00",NA,"19",0.68481019
"2015-04-04","15:20",NA,"19",0.767162528
"2015-04-04","15:20",NA,"2",0.75142352
"2015-10-04","15:00",NA,"2",0.701781729
"2015-10-04","15:00",NA,"20",0.677482953
"2015-04-04","15:20",NA,"20",0.767106998
"2015-10-04","15:00",NA,"21",0.670266622
"2015-04-04","15:20",NA,"21",0.767868459
"2015-10-04","15:00",NA,"22",0.710132075
"2015-04-04","15:20",NA,"22",0.765180909
"2015-10-04","15:00",NA,"23",0.702308334
"2015-04-04","15:20",NA,"23",0.764055678
"2015-10-04","15:00",NA,"24",0.695822209
"2015-04-04","15:20",NA,"24",0.764116568
"2015-10-04","15:00",NA,"25",0.694942928
"2015-04-04","15:20",NA,"25",0.776613387
"2015-10-04","15:00",NA,"26",0.69149715
"2015-04-04","15:20",NA,"26",0.76074817
"2015-10-04","15:00",NA,"27",0.689805917
"2015-04-04","15:20",NA,"27",0.767225631
"2015-04-04","15:20",NA,"3",0.753381155
"2015-10-04","15:00",NA,"3",0.687660755
"2015-10-04","15:00",NA,"4",0.627424149
"2015-04-04","15:20",NA,"4",0.576985679
"2015-10-04","15:00",NA,"5",0.603718676
"2015-04-04","15:20",NA,"5",0.574739451
"2015-10-04","15:00",NA,"6",0.606477164
"2015-04-04","15:20",NA,"6",0.587701561
"2015-04-04","15:20",NA,"7",0.729557777
"2015-10-04","15:00",NA,"7",0.657692931
"2015-10-04","15:00",NA,"8",0.664701405
"2015-04-04","15:20",NA,"8",0.706341296
"2015-10-04","15:00",NA,"9",0.668080567
"2015-04-04","15:20",NA,"9",0.701364808
