"bottle","CH4_frac"
"1_1",0.683
"1_2",0.681
"1_3",0.677
"2_1",0.672
"2_2",0.668
"2_3",0.665
"3_1",0.649
"3_2",0.651
"3_3",0.645
"4_1",0.655
"4_2",0.644
"4_3",0.641
"5_1",0.645
"5_2",0.644
"5_3",0.636
