"date","time","days","bottle","vol"
"14-06-2014","14:00",9.021,2,230
"14-06-2014","14:00",9.021,3,232
"14-06-2014","14:00",9.021,4,320
"14-06-2014","14:00",9.021,5,330
"14-06-2014","14:00",9.021,6,330
"14-06-2014","14:00",9.021,7,840
"14-06-2014","14:00",9.021,8,780
"14-06-2014","14:00",9.021,9,790
"14-06-2014","14:00",9.021,10,245
"14-06-2014","14:00",9.021,11,260
"14-06-2014","14:00",9.021,12,266
"16-06-2014","14:00",10.92,13,520
"16-06-2014","14:00",10.92,14,570
"16-06-2014","14:00",10.92,15,600
"16-06-2014","14:00",10.92,16,70
"16-06-2014","14:00",10.92,17,81
"16-06-2014","14:00",10.92,18,85
"16-06-2014","14:00",10.92,19,60
"16-06-2014","14:00",10.92,20,65
"16-06-2014","14:00",10.92,21,80
"16-06-2014","14:00",10.92,22,445
"16-06-2014","14:00",10.92,23,530
"16-06-2014","14:00",10.92,24,270
"16-06-2014","14:00",11.02,1,180
"16-06-2014","14:00",11.02,2,180
"16-06-2014","14:00",11.02,3,180
"16-06-2014","14:00",11.02,4,280
"16-06-2014","14:00",11.02,5,280
"16-06-2014","14:00",11.02,6,300
"16-06-2014","14:00",11.02,7,640
"16-06-2014","14:00",11.02,8,695
"16-06-2014","14:00",11.02,9,650
"16-06-2014","14:00",11.02,10,233
"16-06-2014","14:00",11.02,11,240
"16-06-2014","14:00",11.02,12,207
"19-06-2014","14:00",13.92,13,495
"19-06-2014","14:00",13.92,14,460
"19-06-2014","14:00",13.92,15,490
"19-06-2014","14:00",13.92,16,65
"19-06-2014","14:00",13.92,17,65
"19-06-2014","14:00",13.92,18,65
"19-06-2014","14:00",13.92,19,60
"19-06-2014","14:00",13.92,20,85
"19-06-2014","14:00",13.92,21,120
"19-06-2014","14:00",13.92,22,370
"19-06-2014","14:00",13.92,23,550
"19-06-2014","14:00",13.92,24,320
"19-06-2014","14:00",14.02,1,200
"19-06-2014","14:00",14.02,2,200
"19-06-2014","14:00",14.02,3,195
"19-06-2014","14:00",14.02,4,320
"19-06-2014","14:00",14.02,5,305
"19-06-2014","14:00",14.02,6,325
"19-06-2014","14:00",14.02,7,560
"19-06-2014","14:00",14.02,8,590
"19-06-2014","14:00",14.02,9,585
"19-06-2014","14:00",14.02,10,240
"19-06-2014","14:00",14.02,11,238
"19-06-2014","14:00",14.02,12,235
"21-06-2014","13:00",15.88,13,326
"21-06-2014","13:00",15.88,14,280
"21-06-2014","13:00",15.88,15,305
"21-06-2014","13:00",15.88,22,220
"21-06-2014","13:00",15.88,23,285
"21-06-2014","13:00",15.88,24,170
"21-06-2014","13:00",15.98,1,110
"21-06-2014","13:00",15.98,2,120
"21-06-2014","13:00",15.98,3,115
"21-06-2014","13:00",15.98,4,200
"21-06-2014","13:00",15.98,5,218
"21-06-2014","13:00",15.98,6,205
"21-06-2014","13:00",15.98,7,290
"21-06-2014","13:00",15.98,8,275
"21-06-2014","13:00",15.98,9,282
"21-06-2014","13:00",15.98,10,158
"21-06-2014","13:00",15.98,11,150
"21-06-2014","13:00",15.98,12,150
"23-06-2014","14:00",17.92,13,275
"23-06-2014","14:00",17.92,14,200
"23-06-2014","14:00",17.92,15,255
"23-06-2014","14:00",17.92,22,145
"23-06-2014","14:00",17.92,23,220
"23-06-2014","14:00",17.92,24,115
"23-06-2014","14:00",18.02,1,100
"23-06-2014","14:00",18.02,2,102
"23-06-2014","14:00",18.02,3,100
"23-06-2014","14:00",18.02,4,166
"23-06-2014","14:00",18.02,5,170
"23-06-2014","14:00",18.02,6,175
"23-06-2014","14:00",18.02,7,195
"23-06-2014","14:00",18.02,8,202
"23-06-2014","14:00",18.02,9,213
"23-06-2014","14:00",18.02,10,117
"23-06-2014","14:00",18.02,11,117
"23-06-2014","14:00",18.02,12,235
"26-06-2014","11:00",20.79,13,220
"26-06-2014","11:00",20.79,14,145
"26-06-2014","11:00",20.79,15,185
"26-06-2014","11:00",20.79,16,370
"26-06-2014","11:00",20.79,17,397
"26-06-2014","11:00",20.79,18,550
