"id","substrate","m.inoc","m.sub.vs","m.sub.vs.se"
"blank1","Blank",8.84210859,0,0
"blank2","Blank",8.81036667,0,0
"blank3","Blank",8.84012472,0,0
"cell1","Cellulose",8.66135599,6.71814,0.02
"cell2","Cellulose",8.6651033,6.71814,0.02
"cell3","Cellulose",8.67965168,6.699,0.02
"fw1","Food waste",8.64151729,6.33284068,0.04
"fw2","Food waste",8.63578611,6.34079651,0.04
"fw3","Food waste",8.66179685,6.38853149,0.04
